Package,File,Line,WMC,ATFD,TCC[%]
jsat.linear,/linear/Matrix.java,29,125,56,0.000
jsat.linear,/linear/DenseMatrix.java,24,171,32,22.727
jsat.linear,/linear/RowColumnOps.java,8,52,45,0.000
jsat.linear,/linear/GenericMatrix.java,23,171,91,2.016
jsat.linear,/linear/MatrixStatistics.java,35,91,96,0.000
jsat.linear,/linear/Vec.java,26,195,102,0.000
jsat.linear.vectorcollection,/linear/vectorcollection/VPTree.java,51,72,87,28.095
jsat.linear.vectorcollection,/linear/vectorcollection/VPTree.java,601,85,116,10.462
jsat.linear.vectorcollection,/linear/vectorcollection/BallTree.java,80,84,135,25.692
jsat.linear.vectorcollection,/linear/vectorcollection/RTree.java,27,100,59,25.490
jsat.linear.vectorcollection,/linear/vectorcollection/CoverTree.java,61,48,36,27.451
jsat.linear.vectorcollection,/linear/vectorcollection/CoverTree.java,475,58,25,13.105
jsat.linear.vectorcollection,/linear/vectorcollection/SVPTree.java,46,52,72,26.316
jsat.linear.vectorcollection,/linear/vectorcollection/SVPTree.java,455,69,60,8.225
jsat.linear.vectorcollection,/linear/vectorcollection/KDTree.java,41,79,56,32.967
jsat.io,/io/LIBSVMLoader.java,40,84,60,0.000
jsat.io,/io/ARFFLoader.java,30,64,48,0.000
jsat.io,/io/JSATData.java,60,56,64,0.735
jsat.io,/io/CSV.java,53,102,83,14.229
jsat.clustering,/clustering/EMGaussianMixture.java,27,63,61,9.942
jsat.clustering,/clustering/OPTICS.java,34,97,50,29.249
jsat.clustering,/clustering/GapStatistic.java,55,52,20,15.385
jsat.clustering,/clustering/FLAME.java,33,67,44,20.513
jsat.clustering,/clustering/HDBSCAN.java,53,51,54,32.143
jsat.clustering.kmeans,/clustering/kmeans/HamerlyKMeans.java,50,51,78,0.000
jsat.clustering.kmeans,/clustering/kmeans/KernelKMeans.java,39,85,30,26.720
jsat.clustering.kmeans,/clustering/kmeans/ElkanKMeans.java,32,54,69,16.364
jsat.utils,/utils/StringUtils.java,7,61,21,0.000
jsat.utils,/utils/IntDoubleMap.java,19,62,15,32.680
jsat.utils,/utils/IntPriorityQueue.java,14,59,19,21.739
jsat.math.optimization,/math/optimization/NelderMead.java,22,52,43,13.333
jsat.math.optimization,/math/optimization/ModifiedOWLQN.java,50,63,38,17.582
jsat.math,/math/SpecialMath.java,23,129,23,0.265
jsat.datatransform.visualization,/datatransform/visualization/TSNE.java,62,47,87,16.316
jsat.datatransform.featureselection,/datatransform/featureselection/SFS.java,20,49,18,16.374
jsat.datatransform.kernel,/datatransform/kernel/Nystrom.java,47,56,49,27.619
jsat.parameters,/parameters/Parameter.java,22,61,66,0.000
jsat.parameters,/parameters/GridSearch.java,32,74,48,15.385
jsat.text.topicmodel,/text/topicmodel/OnlineLDAsvi.java,84,85,92,21.379
jsat.text.stemming,/text/stemming/PorterStemmer.java,12,77,9,0.000
jsat.regression,/regression/StochasticRidgeRegression.java,28,54,28,15.714
jsat.regression,/regression/RegressionDataSet.java,25,53,24,11.029
jsat.classifiers.knn,/classifiers/knn/DANN.java,38,51,45,18.333
jsat.classifiers.trees,/classifiers/trees/RandomForest.java,45,62,39,18.947
jsat.classifiers.trees,/classifiers/trees/ExtraTree.java,32,77,125,13.810
jsat.classifiers.trees,/classifiers/trees/DecisionStump.java,38,118,216,15.269
jsat.classifiers.trees,/classifiers/trees/DecisionTree.java,36,81,58,20.228
jsat.classifiers.trees,/classifiers/trees/TreePruner.java,22,47,46,0.000
jsat.classifiers,/classifiers/ClassificationModelEvaluation.java,25,53,46,16.256
jsat.classifiers.linear,/classifiers/linear/StochasticSTLinearL1.java,37,57,19,10.000
jsat.classifiers.linear,/classifiers/linear/LogisticRegressionDCD.java,36,50,12,11.111
jsat.classifiers.linear.kernelized,/classifiers/linear/kernelized/OSKL.java,44,58,31,20.949
jsat.classifiers.linear.kernelized,/classifiers/linear/kernelized/DUOL.java,51,49,33,15.000
jsat.classifiers.linear.kernelized,/classifiers/linear/kernelized/KernelSGD.java,51,66,34,17.471
jsat.classifiers.linear.kernelized,/classifiers/linear/kernelized/BOGD.java,34,57,29,16.450
jsat.classifiers.linear,/classifiers/linear/SDCA.java,64,87,44,6.667
jsat.classifiers.linear,/classifiers/linear/SCW.java,55,64,28,12.648
jsat.classifiers.linear,/classifiers/linear/NHERD.java,40,52,32,16.912
jsat.classifiers.linear,/classifiers/linear/BBR.java,34,74,20,9.667
jsat.classifiers.linear,/classifiers/linear/StochasticMultinomialLogisticRegression.java,35,88,53,9.677
jsat.classifiers.linear,/classifiers/linear/SCD.java,37,47,24,6.536
jsat.classifiers.linear,/classifiers/linear/LinearSGD.java,61,79,48,20.833
jsat.classifiers.linear,/classifiers/linear/LinearL1SCD.java,43,53,45,0.000
jsat.classifiers.linear,/classifiers/linear/AROW.java,37,48,19,16.912
jsat.classifiers.linear,/classifiers/linear/LinearBatch.java,50,71,49,16.308
jsat.classifiers.linear,/classifiers/linear/SMIDAS.java,42,57,44,9.091
jsat.classifiers.linear,/classifiers/linear/NewGLMNET.java,59,112,41,7.692
jsat.classifiers.linear,/classifiers/linear/STGD.java,33,58,18,8.308
jsat.classifiers.linear,/classifiers/linear/PassiveAggressive.java,34,52,14,11.376
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/SOM.java,34,78,45,21.014
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/LVQ.java,31,78,35,10.462
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/RBFNet.java,69,63,19,15.333
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/BackPropagationNet.java,46,85,113,8.668
jsat.classifiers.neuralnetwork,/classifiers/neuralnetwork/SGDNetworkTrainer.java,41,109,95,16.856
jsat.classifiers.svm,/classifiers/svm/SBP.java,37,57,12,8.333
jsat.classifiers.svm,/classifiers/svm/Pegasos.java,32,49,11,7.359
jsat.classifiers.svm,/classifiers/svm/PlattSMO.java,59,275,65,15.789
jsat.classifiers.svm,/classifiers/svm/DCDs.java,58,122,71,13.445
jsat.classifiers.svm.extended,/classifiers/svm/extended/OnlineAMM.java,52,72,34,13.333
jsat.classifiers.svm.extended,/classifiers/svm/extended/CPM.java,61,73,34,17.647
jsat.classifiers.svm,/classifiers/svm/LSSVM.java,72,55,36,5.263
jsat.classifiers.svm,/classifiers/svm/DCD.java,53,72,42,17.241
jsat.classifiers.svm,/classifiers/svm/DCSVM.java,76,49,40,14.103
jsat.classifiers.boosting,/classifiers/boosting/Wagging.java,37,50,9,20.000
jsat.classifiers.boosting,/classifiers/boosting/Bagging.java,32,67,78,22.500
jsat.classifiers.bayesian,/classifiers/bayesian/MultinomialNaiveBayes.java,33,48,31,25.758
jsat.classifiers,/classifiers/ClassificationDataSet.java,20,81,46,19.333
jsat.distributions.kernels,/distributions/kernels/KernelPoint.java,40,90,56,26.087
jsat.distributions.multivariate,/distributions/multivariate/MetricKDE.java,27,53,25,19.565
